,name,item_id,category_id,discount,rating_score,original_price,price,item_sold_count,temp_category_index
37,[Authentic Guarantee] ▤✚ •AUTHENTIC• [2 DEVICE] LV URSA NANO S AND ART 2023 Limited edition,3954494174,"[22393, 22430, 22744]",20% Off,0,2238,1790,,305
38,3 Meters Creative Cartoon Graffiti Wallpapers Student Tearable Blank Coloring Painting Paper,3506703302,"[22393, 22430, 22744]",57% Off,4.864406779661017,159,68.37,"1,114 sold",305
39,Children ' s DIY Environmental Protection Doodle Bag Bag Children ' s Kindergarten Hand - Made Coloring Painting Material Puzzle Coloring w/color pen（randomly delivery）,340560053,"[22393, 22430, 22744]",1% Off,4.965753424657534,25,24.77,"9,999+ sold",305
40,Safety Compass inch & metric scale plastic compass,3452609256,"[22393, 22430, 22744]",5% Off,5.0,39,37,62 sold,305
41,Multi-color erasable colored pencils 12 colors 24 colors 36 color lead primary school children drawing pencil stationery,3499765589,"[22393, 22430, 22744]",67% Off,5.0,109,36,607 sold,305
42,DIAMOND OIL PASTEL srt suplies,3304920004,"[22393, 22430, 22744]",53% Off,4.857142857142857,75,35,753 sold,305
43,"Crayola Crayons Set of 8, 16 or 24 colors",2355477300,"[22393, 22430, 22744]",63% Off,4.907514450867052,39,14.24,"6,517 sold",305
44,Portable Laminated Drawing board / Drafting board for school / laptop stand desks varnish finish,3051037057,"[22393, 22430, 22744]",,4.930232558139535,,650,137 sold,305
45,Canson Sketch Pad 90gsm 24 to 50 Sheets with 4 Drawing Sketching pencils (4B / 2B / HB / B),348048446,"[22393, 22430, 22744]",,4.816666666666666,,170,249 sold,305
46,A4/A5 Kraft paper cover 8K/16K double spring sketchbook thick blank hand-painted DIY Graffiti school art gift,3942710308,"[22393, 22430, 22744]",27% Off,5.0,65,47.5,152 sold,305
47,"""GREAT LOVE"" Rolling Crayon Pen Cartoon Character 12 colors",4024952141,"[22393, 22430, 22744]",50% Off,5.0,150,75,113 sold,305
48,A4/A5 LED Light Box Tracer Digital Drawing Tablet Copying table Painting Writing Pad with 2M USB wire Three-level Dimming,3395565637,"[22393, 22430, 22744]",29% Off,5.0,350,249,20 sold,305
49,Black Plastic Drawing Picture Storage Tube Poster Scroll Holder,297206723,"[22393, 22430, 22744]",12% Off,4.862068965517241,199,175,152 sold,305
50,"Sketching Esquisses Delinear, Speedball 6-Nib Calligraphy Lettering Set PACKAGING MAY VARY",277482527,"[22393, 22430, 22744]",,5.0,,1100,,305
51,"24H delivery& COD Artist Loft Glass top adjustable drawing table, drafting table, toughened glass top art and craft table with 2 slide drawers and wheels",2393941887,"[22393, 22430, 22744]",61% Off,4.724137931034483,10999,4241,76 sold,305
52,120 Colors Alcohol Marker Art Marker Highlighter Pen Set Color Calligraphy Pen Set Marker Pen,3618287089,"[22393, 22430, 22744]",39% Off,5.0,800,487.32,22 sold,305
53,Vector Art Customized black and white | Gift Idea,4097763172,"[22393, 22430, 22744]",,0,,100,,305
54,Faber-Castell Kneadable Art Eraser Gray,1154022217,"[22393, 22430, 22744]",2% Off,4.898678414096916,41,40.38,"1,084 sold",305
55,A4/8K Thickened Detachable Loose leaf Paper Refill Sketchbook Art Painting Sketch pad Sketchbook School Supplies drawing book,3970075461,"[22393, 22430, 22744]",24% Off,4.833333333333333,250,190,53 sold,305
56,Superdots Coloring Drawing Book,3465743675,"[22393, 22430, 22744]",,0,,230,,305
57,20*20cm Framed DIY Children Digital Oil Painting By Numbers Paint by numbers on canvas,3974219674,"[22393, 22430, 22744]",50% Off,5.0,176,88,13 sold,305
58,Square Retractable Drawing Tube Blueprint Case Telescoping Art Tube Large Plastic Black Storage Tube Expandable plastic tube Waterproof and Light Resistant Poster Tube with Strap,340326711,"[22393, 22430, 22744]",,4.8765432098765435,,454,313 sold,305
59,⚡24H shipping⚡COD Height Adjustable Drafting Table Craft Table Drawing Table Painting Table Workstation with 2 slide drawers and wheels,2460624355,"[22393, 22430, 22744]",70% Off,5.0,13999,4241,7 sold,305
60,12-Color Island Colored Pencils Coloring Set Arts & Craft Materials School Supplies,3294831657,"[22393, 22430, 22744]",67% Off,4.933054393305439,42,14,"9,999+ sold",305
61,Colored Oil Pencil Set Artist Drawing Crayon Wood Colored Pencil Sketch Pencil School art supplies,4127500586,"[22393, 22430, 22744]",22% Off,5.0,499,390.62,,305
62,Double-headed marker pen set student animation drawing art marker watercolor pen,3380574103,"[22393, 22430, 22744]",,4.864406779661017,,168,299 sold,305
63,"Boutique Calligraphy Stencil Template Kit - 45 Reusable Pieces - Includes Lettering Upper and Lowercase both Large and Small, Numbers, Punctuation, Laurels and Flowers - For Arts Crafts Painting Wood",3467579142,"[22393, 22430, 22744]",10% Off,0,2299,2069.1,,305
64,Marie's White Charcoal Pencil (Sold Per Piece),3162401764,"[22393, 22430, 22744]",1% Off,5.0,40,39.64,375 sold,305
65,"Staedtler Rasoplast Eraser White Small, Medium, Large or Combination",2328099615,"[22393, 22430, 22744]",,4.897637795275591,,26,"1,039 sold",305
66,OBOS professional oil color pencil Set 48/72/120/150/200 Sketch Artist Painting coloring set,3901415815,"[22393, 22430, 22744]",36% Off,5.0,590,375,22 sold,305
67,Children  watercolor picture book graffiti and coloring drawing books Colored note with pigments,3931465723,"[22393, 22430, 22744]",42% Off,5.0,60,35,199 sold,305
68,Trendy 145 PCS CUTE UNICORN ART COLORING DRAWING PAINTING SET with Aluminum Alloy Case,3548630122,"[22393, 22430, 22744]",54% Off,5.0,1199,555,14 sold,305
69,"[COD Fast delivery] Artist Loft Glass top adjustable drawing table, drafting table, toughened glass top art and craft table with 2 slide drawers and wheels",2574076475,"[22393, 22430, 22744]",79% Off,5.0,19999,4241,37 sold,305
70,Blue Plastic Drawing Picture Storage Tube Poster Scroll Holder,297522826,"[22393, 22430, 22744]",12% Off,4.833333333333333,199,175,33 sold,305
71,Coloring Art Pen Set 24 pcs,3912340152,"[22393, 22430, 22744]",,0,,139,,305
